experiment_id,estimand,design,model,reference_model,point_estimate,ci_lower_95,ci_upper_95,bootstrap_repeats,bootstrap_seed,bootstrap_method,n,positive_count,positive_prevalence,paired_test_n,overlap_identifier,random_test_n,temporal_test_n,random_positive_count,temporal_positive_count,random_positive_prevalence,temporal_positive_prevalence,overlap_n,overlap_fraction_random_test,overlap_fraction_temporal_test
b_minus_occupied_random,average precision,random,b_minus_occupied_random,,0.652251789263307,0.6405644991629311,0.6639182689478285,10000,20260921,paired class-stratified percentile bootstrap; same records resampled jointly,25814.0,6640.0,0.257224761757186,25814.0,SOURCE_ROW_ID,,,,,,,,,
b_minus_occupied_random,average precision,random,core_random_B,,0.6566246779018947,0.6450153031798974,0.6680180524471955,10000,20260921,paired class-stratified percentile bootstrap; same records resampled jointly,25814.0,6640.0,0.257224761757186,25814.0,SOURCE_ROW_ID,,,,,,,,,
b_minus_occupied_random,paired new-minus-reference average-precision difference,random,b_minus_occupied_random,core_random_B,-0.0043728886385877574,-0.007062770145452276,-0.0014805061266910148,10000,20260921,paired class-stratified percentile bootstrap; same records resampled jointly,25814.0,6640.0,0.257224761757186,25814.0,SOURCE_ROW_ID,,,,,,,,,
b_minus_occupied_temporal,average precision,temporal,b_minus_occupied_temporal,,0.6386985686156484,0.6277955940773344,0.6505319832281458,10000,20260921,paired class-stratified percentile bootstrap; same records resampled jointly,25814.0,6850.0,0.2653598822344464,25814.0,SOURCE_ROW_ID,,,,,,,,,
b_minus_occupied_temporal,average precision,temporal,core_temporal_B,,0.640199883921481,0.6292189328404617,0.6518949858094476,10000,20260921,paired class-stratified percentile bootstrap; same records resampled jointly,25814.0,6850.0,0.2653598822344464,25814.0,SOURCE_ROW_ID,,,,,,,,,
b_minus_occupied_temporal,paired new-minus-reference average-precision difference,temporal,b_minus_occupied_temporal,core_temporal_B,-0.001501315305832529,-0.004543302402210722,0.0015877037316029555,10000,20260921,paired class-stratified percentile bootstrap; same records resampled jointly,25814.0,6850.0,0.2653598822344464,25814.0,SOURCE_ROW_ID,,,,,,,,,
building_type_temporal,average precision,temporal,building_type_temporal,,0.5173179159412711,0.5083052136248996,0.5263865699246898,10000,20260921,paired class-stratified percentile bootstrap; same records resampled jointly,25814.0,6850.0,0.2653598822344464,25814.0,SOURCE_ROW_ID,,,,,,,,,
building_type_temporal,average precision,temporal,core_temporal_B,,0.640199883921481,0.6292189328404617,0.6518949858094476,10000,20260921,paired class-stratified percentile bootstrap; same records resampled jointly,25814.0,6850.0,0.2653598822344464,25814.0,SOURCE_ROW_ID,,,,,,,,,
building_type_temporal,paired new-minus-reference average-precision difference,temporal,building_type_temporal,core_temporal_B,-0.1228819679802099,-0.1328602857261173,-0.11319030217092135,10000,20260921,paired class-stratified percentile bootstrap; same records resampled jointly,25814.0,6850.0,0.2653598822344464,25814.0,SOURCE_ROW_ID,,,,,,,,,
arrival_size_temporal,average precision,temporal,arrival_size_temporal,,0.9626575879470096,0.9595183276137829,0.9658416677572746,10000,20260921,paired class-stratified percentile bootstrap; same records resampled jointly,25814.0,6850.0,0.2653598822344464,25814.0,SOURCE_ROW_ID,,,,,,,,,
arrival_size_temporal,average precision,temporal,core_temporal_C,,0.9820794954052965,0.9801537145503563,0.9839833396866002,10000,20260921,paired class-stratified percentile bootstrap; same records resampled jointly,25814.0,6850.0,0.2653598822344464,25814.0,SOURCE_ROW_ID,,,,,,,,,
arrival_size_temporal,paired new-minus-reference average-precision difference,temporal,arrival_size_temporal,core_temporal_C,-0.01942190745828687,-0.02133050536784458,-0.017557081591957575,10000,20260921,paired class-stratified percentile bootstrap; same records resampled jointly,25814.0,6850.0,0.2653598822344464,25814.0,SOURCE_ROW_ID,,,,,,,,,
b_minus_occupied_random_minus_temporal,average precision,random,b_minus_occupied,,0.652251789263307,0.6410233674482877,0.6638037062692951,10000,20260921,partially paired class-and-membership-stratified percentile bootstrap; shared records resampled jointly,25814.0,6640.0,0.257224761757186,,SOURCE_ROW_ID,25814.0,25814.0,6640.0,6850.0,0.257224761757186,0.2653598822344464,3252.0,0.12597815139071822,0.12597815139071822
b_minus_occupied_random_minus_temporal,average precision,temporal,b_minus_occupied,,0.6386985686156484,0.6276937246512448,0.6502451988489015,10000,20260921,partially paired class-and-membership-stratified percentile bootstrap; shared records resampled jointly,25814.0,6850.0,0.2653598822344464,,SOURCE_ROW_ID,25814.0,25814.0,6640.0,6850.0,0.257224761757186,0.2653598822344464,3252.0,0.12597815139071822,0.12597815139071822
b_minus_occupied_random_minus_temporal,random-minus-temporal average-precision difference,random-minus-temporal,b_minus_occupied,,0.013553220647658515,-0.0017485595616579834,0.02850874078937865,10000,20260921,partially paired class-and-membership-stratified percentile bootstrap; shared records resampled jointly,,,,,SOURCE_ROW_ID,25814.0,25814.0,6640.0,6850.0,0.257224761757186,0.2653598822344464,3252.0,0.12597815139071822,0.12597815139071822
