FINANCIAL_YEAR,incident_count,larger_fire_count,larger_fire_prevalence
2010/11,19891,4783,0.2404605097782917
2011/12,19475,5186,0.2662901155327343
2012/13,15806,3512,0.2221941035049981
2013/14,15721,3885,0.2471216843712232
2014/15,14849,3492,0.23516735133679037
2015/16,15364,3847,0.25039052330122363
2016/17,15228,3662,0.24047806671920147
2017/18,14995,3877,0.25855285095031677
2018/19,14400,4031,0.27993055555555557
2019/20,13804,3594,0.2603593161402492
2020/21,11431,3720,0.32543084594523664
2021/22,12393,3365,0.2715242475591059
2022/23,13000,3723,0.2863846153846154
2023/24,12814,3127,0.24402996722334946
