FINANCIAL_YEAR,BUILDING_TYPE,count,year_total,proportion
2010/11,Hospital,743,19891,0.037353576994620684
2010/11,Industrial Manufacturing (not including Factory),662,19891,0.033281383540294605
2010/11,Offices and call centres,798,19891,0.040118646624101355
2010/11,Other,946,19891,0.04755919762706752
2010/11,Permanent Agricultural,664,19891,0.033381931526821174
2010/11,Prison,410,19891,0.02061233723794681
2010/11,Pub / Wine bar / Bar,753,19891,0.03785631692725353
2010/11,Restaurant / Cafe,460,19891,0.023126036901111056
2010/11,Retail,2030,19891,0.10205620632446835
2010/11,Shed / Garage / Greenhouse / Summer house,3895,19891,0.1958172037604947
2011/12,Hospital,642,19475,0.032965340179717584
2011/12,Industrial Manufacturing (not including Factory),614,19475,0.03152759948652118
2011/12,Offices and call centres,753,19475,0.038664955070603337
2011/12,Other,877,19475,0.04503209242618742
2011/12,Permanent Agricultural,698,19475,0.0358408215661104
2011/12,Prison,449,19475,0.02305519897304236
2011/12,Pub / Wine bar / Bar,716,19475,0.036765083440308086
2011/12,Restaurant / Cafe,467,19475,0.02397946084724005
2011/12,Retail,2045,19475,0.10500641848523748
2011/12,Shed / Garage / Greenhouse / Summer house,4101,19475,0.21057766367137357
2012/13,Hospital,556,15806,0.03517651524737442
2012/13,Industrial Manufacturing (not including Factory),662,15806,0.04188282930532709
2012/13,Offices and call centres,653,15806,0.041313425281538654
2012/13,Other,664,15806,0.04200936353283563
2012/13,Permanent Agricultural,535,15806,0.033847905858534734
2012/13,Prison,429,15806,0.02714159180058206
2012/13,Pub / Wine bar / Bar,613,15806,0.03878274073136784
2012/13,Restaurant / Cafe,528,15806,0.03340503606225484
2012/13,Retail,1688,15806,0.10679488801720866
2012/13,Shed / Garage / Greenhouse / Summer house,2618,15806,0.16563330380868024
2013/14,Hospital,540,15721,0.03434895998982253
2013/14,Industrial Manufacturing (not including Factory),658,15721,0.041854843839450415
2013/14,Offices and call centres,637,15721,0.04051905095095732
2013/14,Other,595,15721,0.03784746517397112
2013/14,Permanent Agricultural,574,15721,0.036511672285478025
2013/14,Prison,506,15721,0.03218624769416704
2013/14,Pub / Wine bar / Bar,585,15721,0.03721137332230774
2013/14,Restaurant / Cafe,528,15721,0.03358564976782647
2013/14,Retail,1663,15721,0.10578207493162013
2013/14,Shed / Garage / Greenhouse / Summer house,2988,15721,0.190064245277018
2014/15,Hospital,520,14849,0.035019193211664086
2014/15,Industrial Manufacturing (not including Factory),690,14849,0.04646777560778503
2014/15,Offices and call centres,540,14849,0.03636608525826655
2014/15,Other,565,14849,0.03804970031651963
2014/15,Permanent Agricultural,514,14849,0.034615125597683344
2014/15,Prison,654,14849,0.0440433699239006
2014/15,Pub / Wine bar / Bar,571,14849,0.03845376793050037
2014/15,Restaurant / Cafe,512,14849,0.034480436393023096
2014/15,Retail,1558,14849,0.10492289043033201
2014/15,Shed / Garage / Greenhouse / Summer house,2544,14849,0.17132466832783352
2015/16,Hospital,535,15364,0.03482166102577454
2015/16,Industrial Manufacturing (not including Factory),635,15364,0.0413303827128352
2015/16,Offices and call centres,547,15364,0.03560270762822182
2015/16,Other,621,15364,0.040419161676646706
2015/16,Permanent Agricultural,559,15364,0.0363837542306691
2015/16,Prison,1076,15364,0.07003384535277271
2015/16,Pub / Wine bar / Bar,591,15364,0.038466545170528506
2015/16,Restaurant / Cafe,542,15364,0.03527727154386878
2015/16,Retail,1483,15364,0.09652434261910961
2015/16,Shed / Garage / Greenhouse / Summer house,2749,15364,0.17892475917729758
2016/17,Hospital,445,15228,0.029222484896243763
2016/17,Industrial Manufacturing (not including Factory),634,15228,0.04163383241397426
2016/17,Offices and call centres,510,15228,0.033490937746256895
2016/17,Other,662,15228,0.04347255056474915
2016/17,Permanent Agricultural,539,15228,0.0353953244024166
2016/17,Prison,1281,15228,0.08412135539795114
2016/17,Pub / Wine bar / Bar,554,15228,0.03638035198318886
2016/17,Restaurant / Cafe,597,15228,0.039204097714736014
2016/17,Retail,1488,15228,0.09771473601260836
2016/17,Shed / Garage / Greenhouse / Summer house,2690,15228,0.1766482794851589
2017/18,Hospital,418,14995,0.027875958652884295
2017/18,Industrial Manufacturing (not including Factory),576,14995,0.038412804268089365
2017/18,Offices and call centres,484,14995,0.03227742580860287
2017/18,Other,690,14995,0.04601533844614872
2017/18,Permanent Agricultural,536,14995,0.035745248416138714
