building_type,n,positive_count,positive_prevalence,pr_auc,roc_auc,recall,precision,f1,balanced_accuracy,brier_score,threshold,tn,fp,fn,tp
Shed / Garage / Greenhouse / Summer house,4831,2862,0.5924239287932105,0.7318295082756779,0.6732845300622259,0.9755415793151643,0.6096069868995633,0.7503359312012899,0.5337332071283795,0.21996880711193104,0.2836891710758209,181,1788,70,2792
Prison,2852,96,0.033660589060308554,0.05125671041358799,0.5892522375423319,0.0,0.0,0.0,0.5,0.03245844981221523,0.2836891710758209,2756,0,96,0
Retail,2206,398,0.18041704442429737,0.4142938070468375,0.7610424912171476,0.38944723618090454,0.4144385026737968,0.4015544041450777,0.6341594587984168,0.1285197410695182,0.2836891710758209,1589,219,243,155
Other,1290,392,0.30387596899224806,0.5830084194927729,0.7694692854870233,0.7525510204081632,0.48599670510708404,0.5905905905905906,0.7025561338120994,0.1708304106511333,0.2836891710758209,586,312,97,295
Restaurant / Cafe,955,180,0.18848167539267016,0.42536610586984125,0.7304086021505376,0.3277777777777778,0.4306569343065693,0.3722397476340694,0.6135663082437276,0.1356709971631597,0.2836891710758209,697,78,121,59
Industrial Manufacturing (not including Factory),942,206,0.21868365180467092,0.482827860920403,0.725912832418742,0.4368932038834951,0.4787234042553192,0.45685279187817257,0.6518705149852259,0.1479711201572489,0.2836891710758209,638,98,116,90
Permanent Agricultural,929,543,0.5844994617868676,0.7092497205225028,0.6560272521684367,0.9686924493554327,0.6032110091743119,0.7434628975265017,0.536159696180307,0.22558389438199083,0.2836891710758209,40,346,17,526
Pub / Wine bar / Bar,910,151,0.16593406593406593,0.5305486507019228,0.7729279550471604,0.48344370860927155,0.5069444444444444,0.49491525423728816,0.6949497857934368,0.10857400131782775,0.2836891710758209,688,71,78,73
Residential (not a dwelling),781,371,0.47503201024327785,0.6913850948657225,0.7426303333114193,0.8598382749326146,0.5885608856088561,0.6987951807228916,0.6579679179541121,0.20683125798518828,0.2836891710758209,187,223,52,319
Offices and call centres,624,98,0.15705128205128205,0.4930886391705015,0.816811515480717,0.5,0.4803921568627451,0.49,0.6996197718631179,0.10484729811863876,0.2836891710758209,473,53,49,49
