column,category,first_year,last_year,n_years_present,appears_after_start,disappears_before_end
BUILDING_TYPE,Bank / Building Society,2010/11,2025/26,16,False,False
BUILDING_TYPE,Casino / Club / Nightclub,2010/11,2025/26,16,False,False
BUILDING_TYPE,Church / Chapel / Cathedral,2010/11,2025/26,16,False,False
BUILDING_TYPE,College / University,2010/11,2025/26,16,False,False
BUILDING_TYPE,Entertainment and Culture,2010/11,2025/26,16,False,False
BUILDING_TYPE,Factory,2010/11,2025/26,16,False,False
BUILDING_TYPE,Hospital,2010/11,2025/26,16,False,False
BUILDING_TYPE,Hostel,2010/11,2025/26,16,False,False
BUILDING_TYPE,Hotel / Motel,2010/11,2025/26,16,False,False
BUILDING_TYPE,Industrial Manufacturing (not including Factory),2010/11,2025/26,16,False,False
BUILDING_TYPE,Industrial Processing (not including Recycling Centre),2010/11,2025/26,16,False,False
BUILDING_TYPE,Medical care (not including Hospital),2010/11,2025/26,16,False,False
BUILDING_TYPE,Mosque,2010/11,2025/26,16,False,False
BUILDING_TYPE,Nursing / Care Home,2010/11,2025/26,16,False,False
BUILDING_TYPE,Offices and call centres,2010/11,2025/26,16,False,False
BUILDING_TYPE,Other,2010/11,2025/26,16,False,False
BUILDING_TYPE,Other Education Establishment,2010/11,2025/26,16,False,False
BUILDING_TYPE,Other Religious,2010/11,2025/26,16,False,False
BUILDING_TYPE,Other Residential Home,2010/11,2025/26,16,False,False
BUILDING_TYPE,Permanent Agricultural,2010/11,2025/26,16,False,False
BUILDING_TYPE,Petrol station,2010/11,2025/26,16,False,False
BUILDING_TYPE,Pre School / Nursery / Infant / Primary School,2010/11,2025/26,16,False,False
BUILDING_TYPE,Prison,2010/11,2025/26,16,False,False
BUILDING_TYPE,Pub / Wine bar / Bar,2010/11,2025/26,16,False,False
BUILDING_TYPE,Public Utilities,2010/11,2025/26,16,False,False
BUILDING_TYPE,"Public admin, security and safety",2010/11,2025/26,16,False,False
BUILDING_TYPE,Recycling Centre,2010/11,2025/26,16,False,False
BUILDING_TYPE,Residential (not a dwelling),2010/11,2025/26,16,False,False
BUILDING_TYPE,Restaurant / Cafe,2010/11,2025/26,16,False,False
BUILDING_TYPE,Retail,2010/11,2025/26,16,False,False
BUILDING_TYPE,Retirement Care Home,2010/11,2025/26,16,False,False
BUILDING_TYPE,Secondary School,2010/11,2025/26,16,False,False
BUILDING_TYPE,Shed / Garage / Greenhouse / Summer house,2010/11,2025/26,16,False,False
BUILDING_TYPE,Sheltered Housing - not self contained,2010/11,2025/26,16,False,False
BUILDING_TYPE,Shopping Centre,2010/11,2025/26,16,False,False
BUILDING_TYPE,Sporting venues,2010/11,2025/26,16,False,False
BUILDING_TYPE,Student Hall of Residence,2010/11,2025/26,16,False,False
BUILDING_TYPE,Synagogue,2010/11,2025/26,14,False,False
BUILDING_TYPE,Takeaway / Fast food,2010/11,2025/26,16,False,False
