partition,column,category,count,proportion
train,BUILDING_TYPE,Shed / Garage / Greenhouse / Summer house,29896,0.1873969648912764
train,BUILDING_TYPE,Retail,16081,0.10080046134655526
train,BUILDING_TYPE,Prison,7753,0.048598095691800444
train,BUILDING_TYPE,Other,6821,0.04275604420402049
train,BUILDING_TYPE,Industrial Manufacturing (not including Factory),6245,0.039145505945478366
train,BUILDING_TYPE,Pub / Wine bar / Bar,5947,0.03727755386032984
train,BUILDING_TYPE,Offices and call centres,5820,0.036481480320686
train,BUILDING_TYPE,Permanent Agricultural,5657,0.035459748139883285
train,BUILDING_TYPE,Hospital,5321,0.03335360082240038
train,BUILDING_TYPE,Restaurant / Cafe,5305,0.03325330809299643
train,BUILDING_TYPE,Residential (not a dwelling),5299,0.03321569831946995
train,BUILDING_TYPE,Factory,4602,0.02884669629481048
train,BUILDING_TYPE,Nursing / Care Home,3976,0.02492274325688102
train,BUILDING_TYPE,Takeaway / Fast food,3863,0.02421442585546564
train,BUILDING_TYPE,Retirement Care Home,3460,0.021688302733603705
train,BUILDING_TYPE,Entertainment and Culture,3304,0.020710448621915217
train,BUILDING_TYPE,Warehouses and bulk storage,3221,0.020190180088132236
train,BUILDING_TYPE,Hotel / Motel,3172,0.019883033604332644
train,BUILDING_TYPE,Pre School / Nursery / Infant / Primary School,2904,0.01820313038681652
train,BUILDING_TYPE,Sporting venues,2612,0.016372788075194475
train,BUILDING_TYPE,Student Hall of Residence,2501,0.015677007264954586
train,BUILDING_TYPE,Vehicle Repair,2319,0.01453617746798468
train,BUILDING_TYPE,Public Utilities,2057,0.012893884023995035
train,BUILDING_TYPE,Industrial Processing (not including Recycling Centre),1959,0.012279591056395856
train,BUILDING_TYPE,Other Residential Home,1814,0.011370688196172579
train,BUILDING_TYPE,Hostel,1809,0.011339346718233846
train,BUILDING_TYPE,Secondary School,1741,0.010913102618267067
train,BUILDING_TYPE,Medical care (not including Hospital),1697,0.010637297612406211
train,BUILDING_TYPE,Sheltered Housing - not self contained,1534,0.009615565431603492
train,BUILDING_TYPE,Recycling Centre,1429,0.008957394394890085
train,BUILDING_TYPE,"Public admin, security and safety",1391,0.008719199162555709
train,BUILDING_TYPE,College / University,1365,0.008556223477274295
train,BUILDING_TYPE,Transport buildings,1322,0.008286686767001184
train,BUILDING_TYPE,Shopping Centre,1064,0.006669466505362527
train,BUILDING_TYPE,Church / Chapel / Cathedral,832,0.005215221929005284
train,BUILDING_TYPE,Temporary office (eg portacabin),755,0.004732563168748785
train,BUILDING_TYPE,Bank / Building Society,561,0.003516513824725919
train,BUILDING_TYPE,Casino / Club / Nightclub,531,0.0033284649570935166
train,BUILDING_TYPE,Other Education Establishment,501,0.0031404160894611148
train,BUILDING_TYPE,Young Offenders Unit,473,0.002964903813004206
train,BUILDING_TYPE,Petrol station,371,0.002325537663054039
train,BUILDING_TYPE,Other Religious,126,0.0007898052440560887
train,BUILDING_TYPE,Mosque,61,0.0003823660308525509
train,BUILDING_TYPE,Synagogue,31,0.0001943171632201488
train,BUILDING_TYPE,Temple,30,0.00018804886763240208
train,ALARM_SYSTEM,Alarm Absent,75641,0.47414014655275083
train,ALARM_SYSTEM,Alarm Present and raised the alarm,55713,0.3492255520801339
train,ALARM_SYSTEM,Alarm Present but did not operate,19584,0.12275830079043207
train,ALARM_SYSTEM,Alarm Present but did not raise alarm,8595,0.053876000576683195
train,SAFETY_SYSTEM,No Safety System,153185,0.9602088596089837
train,SAFETY_SYSTEM,Sprinklers present but did not operate,2080,0.01303805482251321
train,SAFETY_SYSTEM,Other System present and raised the alarm,1710,0.010718785455046918
train,SAFETY_SYSTEM,Other System present but did not operate,1018,0.006381124908326177
train,SAFETY_SYSTEM,Sprinklers present and raised the alarm,961,0.006023832059824613
train,SAFETY_SYSTEM,Other System operated but did not raise alarm,399,0.0025010499395109478
train,SAFETY_SYSTEM,Sprinklers operated but did not raise alarm,180,0.0011282932057944124
train,FIRE_SIZE_ON_ARRIVAL,Limited to item 1st ignited,48546,0.30430067760275303
train,FIRE_SIZE_ON_ARRIVAL,No fire damage,39354,0.24668250456018503
train,FIRE_SIZE_ON_ARRIVAL,Limited to room of origin,35198,0.2206314680975096
train,FIRE_SIZE_ON_ARRIVAL,Whole Building/ Affecting more than 2 floors,22216,0.1392564547773815
train,FIRE_SIZE_ON_ARRIVAL,Limited to floor of origin (not whole building),11910,0.07465540045006362
train,FIRE_SIZE_ON_ARRIVAL,Limited to 2 floors,1779,0.011151297850601443
train,FIRE_SIZE_ON_ARRIVAL,Roofs/ Roof spaces,530,0.0033221966615057698
validation,BUILDING_TYPE,Shed / Garage / Greenhouse / Summer house,5480,0.2300201477501679
validation,BUILDING_TYPE,Retail,2057,0.08634150436534586
