financial_year,column,category,count,proportion
2010/11,ACCIDENTAL_OR_DELIBERATE,Recorded as Accidental,14690,0.7077471574484486
2010/11,ACCIDENTAL_OR_DELIBERATE,Recorded as Deliberate,6066,0.2922528425515514
2011/12,ACCIDENTAL_OR_DELIBERATE,Recorded as Accidental,14208,0.6991093834571668
2011/12,ACCIDENTAL_OR_DELIBERATE,Recorded as Deliberate,6115,0.3008906165428332
2012/13,ACCIDENTAL_OR_DELIBERATE,Recorded as Accidental,12231,0.7408237431859479
2012/13,ACCIDENTAL_OR_DELIBERATE,Recorded as Deliberate,4279,0.2591762568140521
2013/14,ACCIDENTAL_OR_DELIBERATE,Recorded as Accidental,12493,0.7555031446540881
2013/14,ACCIDENTAL_OR_DELIBERATE,Recorded as Deliberate,4043,0.24449685534591195
2014/15,ACCIDENTAL_OR_DELIBERATE,Recorded as Accidental,11736,0.7539509186688937
2014/15,ACCIDENTAL_OR_DELIBERATE,Recorded as Deliberate,3830,0.24604908133110626
2015/16,ACCIDENTAL_OR_DELIBERATE,Recorded as Accidental,11588,0.7229847766408785
2015/16,ACCIDENTAL_OR_DELIBERATE,Recorded as Deliberate,4440,0.27701522335912154
2016/17,ACCIDENTAL_OR_DELIBERATE,Recorded as Accidental,11287,0.7111265120967742
2016/17,ACCIDENTAL_OR_DELIBERATE,Recorded as Deliberate,4585,0.2888734879032258
2017/18,ACCIDENTAL_OR_DELIBERATE,Recorded as Accidental,11165,0.7147429742013955
2017/18,ACCIDENTAL_OR_DELIBERATE,Recorded as Deliberate,4456,0.28525702579860446
2018/19,ACCIDENTAL_OR_DELIBERATE,Recorded as Accidental,11392,0.7576987030262721
2018/19,ACCIDENTAL_OR_DELIBERATE,Recorded as Deliberate,3643,0.24230129697372796
2019/20,ACCIDENTAL_OR_DELIBERATE,Recorded as Accidental,10451,0.7292073681272676
2019/20,ACCIDENTAL_OR_DELIBERATE,Recorded as Deliberate,3881,0.27079263187273234
2020/21,ACCIDENTAL_OR_DELIBERATE,Recorded as Accidental,9198,0.7713854411271386
2020/21,ACCIDENTAL_OR_DELIBERATE,Recorded as Deliberate,2726,0.22861455887286145
2021/22,ACCIDENTAL_OR_DELIBERATE,Recorded as Accidental,9856,0.7608460707117493
2021/22,ACCIDENTAL_OR_DELIBERATE,Recorded as Deliberate,3098,0.23915392928825074
2022/23,ACCIDENTAL_OR_DELIBERATE,Recorded as Accidental,10079,0.7423037266165856
2022/23,ACCIDENTAL_OR_DELIBERATE,Recorded as Deliberate,3499,0.25769627338341433
2023/24,ACCIDENTAL_OR_DELIBERATE,Recorded as Accidental,9194,0.6912781954887218
2023/24,ACCIDENTAL_OR_DELIBERATE,Recorded as Deliberate,4106,0.3087218045112782
2024/25,ACCIDENTAL_OR_DELIBERATE,Recorded as Accidental,8956,0.6788448419616463
2024/25,ACCIDENTAL_OR_DELIBERATE,Recorded as Deliberate,4237,0.32115515803835365
2025/26,ACCIDENTAL_OR_DELIBERATE,Recorded as Accidental,9953,0.7276116675195555
2025/26,ACCIDENTAL_OR_DELIBERATE,Recorded as Deliberate,3726,0.2723883324804445
2010/11,ALARM_SYSTEM,Alarm Absent,10734,0.517151666987859
2010/11,ALARM_SYSTEM,Alarm Present and raised the alarm,6592,0.3175949123145115
2010/11,ALARM_SYSTEM,Alarm Present but did not operate,2495,0.12020620543457314
2010/11,ALARM_SYSTEM,Alarm Present but did not raise alarm,935,0.04504721526305647
2011/12,ALARM_SYSTEM,Alarm Absent,10682,0.525611376273188
2011/12,ALARM_SYSTEM,Alarm Present and raised the alarm,6114,0.30084141120897506
2011/12,ALARM_SYSTEM,Alarm Present but did not operate,2507,0.1233577719824829
2011/12,ALARM_SYSTEM,Alarm Present but did not raise alarm,1020,0.050189440535354034
2012/13,ALARM_SYSTEM,Alarm Absent,7697,0.4662023016353725
2012/13,ALARM_SYSTEM,Alarm Present and raised the alarm,5699,0.3451847365233192
2012/13,ALARM_SYSTEM,Alarm Present but did not operate,2238,0.1355542095699576
2012/13,ALARM_SYSTEM,Alarm Present but did not raise alarm,876,0.0530587522713507
2013/14,ALARM_SYSTEM,Alarm Absent,7851,0.4747822931785196
2013/14,ALARM_SYSTEM,Alarm Present and raised the alarm,5576,0.33720367682631835
2013/14,ALARM_SYSTEM,Alarm Present but did not operate,2180,0.13183357522980166
2013/14,ALARM_SYSTEM,Alarm Present but did not raise alarm,929,0.056180454765360426
2014/15,ALARM_SYSTEM,Alarm Absent,7119,0.457342926891944
2014/15,ALARM_SYSTEM,Alarm Present and raised the alarm,5553,0.3567390466401131
2014/15,ALARM_SYSTEM,Alarm Present but did not operate,2031,0.13047667994346654
2014/15,ALARM_SYSTEM,Alarm Present but did not raise alarm,863,0.05544134652447642
2015/16,ALARM_SYSTEM,Alarm Absent,7342,0.4580733715997005
2015/16,ALARM_SYSTEM,Alarm Present and raised the alarm,5737,0.3579361118043424
2015/16,ALARM_SYSTEM,Alarm Present but did not operate,2049,0.12783878213127028
2015/16,ALARM_SYSTEM,Alarm Present but did not raise alarm,900,0.0561517344646868
2016/17,ALARM_SYSTEM,Alarm Absent,7176,0.45211693548387094
2016/17,ALARM_SYSTEM,Alarm Present and raised the alarm,5808,0.3659274193548387
2016/17,ALARM_SYSTEM,Alarm Present but did not operate,1985,0.12506300403225806
2016/17,ALARM_SYSTEM,Alarm Present but did not raise alarm,903,0.05689264112903226
2017/18,ALARM_SYSTEM,Alarm Absent,7237,0.4632866013699507
2017/18,ALARM_SYSTEM,Alarm Present and raised the alarm,5474,0.3504257089814993
2017/18,ALARM_SYSTEM,Alarm Present but did not operate,1935,0.12387171115805647
2017/18,ALARM_SYSTEM,Alarm Present but did not raise alarm,975,0.062415978490493566
2018/19,ALARM_SYSTEM,Alarm Absent,7282,0.4843365480545394
2018/19,ALARM_SYSTEM,Alarm Present and raised the alarm,5155,0.3428666444961756
2018/19,ALARM_SYSTEM,Alarm Present but did not operate,1746,0.11612903225806452
2018/19,ALARM_SYSTEM,Alarm Present but did not raise alarm,852,0.05666777519122049
2019/20,ALARM_SYSTEM,Alarm Absent,6626,0.46232207647222995
2019/20,ALARM_SYSTEM,Alarm Present and raised the alarm,5250,0.3663131454088752
2019/20,ALARM_SYSTEM,Alarm Present but did not operate,1672,0.11666201507116941
2019/20,ALARM_SYSTEM,Alarm Present but did not raise alarm,784,0.05470276304772537
2020/21,ALARM_SYSTEM,Alarm Absent,6554,0.5496477692049648
2020/21,ALARM_SYSTEM,Alarm Present and raised the alarm,3701,0.3103824220060382
2020/21,ALARM_SYSTEM,Alarm Present but did not operate,1110,0.09308956725930896
2020/21,ALARM_SYSTEM,Alarm Present but did not raise alarm,559,0.046880241529688026
2021/22,ALARM_SYSTEM,Alarm Absent,6170,0.4763007565230817
2021/22,ALARM_SYSTEM,Alarm Present and raised the alarm,4626,0.3571097730430755
2021/22,ALARM_SYSTEM,Alarm Present but did not operate,1475,0.11386444341516135
2021/22,ALARM_SYSTEM,Alarm Present but did not raise alarm,683,0.05272502701868149
2022/23,ALARM_SYSTEM,Alarm Absent,6610,0.4868169097068788
2022/23,ALARM_SYSTEM,Alarm Present and raised the alarm,4897,0.36065694505818235
2022/23,ALARM_SYSTEM,Alarm Present but did not operate,1368,0.10075121520106053
2022/23,ALARM_SYSTEM,Alarm Present but did not raise alarm,703,0.051774930033878334
2023/24,ALARM_SYSTEM,Alarm Absent,5777,0.4343609022556391
2023/24,ALARM_SYSTEM,Alarm Present and raised the alarm,5511,0.4143609022556391
2023/24,ALARM_SYSTEM,Alarm Present but did not operate,1305,0.0981203007518797
2023/24,ALARM_SYSTEM,Alarm Present but did not raise alarm,707,0.053157894736842105
2024/25,ALARM_SYSTEM,Alarm Absent,5755,0.43621617524444783
2024/25,ALARM_SYSTEM,Alarm Present and raised the alarm,5381,0.40786780868642464
