column,dtype,n_missing,missing_rate,n_unique_nonmissing
FRS_TERRITORY,str,0,0.0,43
E_CODE_TERRITORY,str,0,0.0,43
FINANCIAL_YEAR,str,0,0.0,16
DAY_OF_WEEK,str,0,0.0,7
DAY_NIGHT,str,0,0.0,4
BUILDING_TYPE,str,0,0.0,45
FSO_APPLY,str,0,0.0,2
OCCUPIED_NORMAL,str,0,0.0,4
OCCUPIED_TIME,str,0,0.0,3
ALARM_SYSTEM,str,0,0.0,4
SAFETY_SYSTEM,str,0,0.0,7
IGNITION_TO_DISCOVERY,str,0,0.0,6
DISCOVERY_TO_CALL,str,0,0.0,6
LATE_CALL,str,0,0.0,2
ACCIDENTAL_OR_DELIBERATE,str,0,0.0,2
CAUSE_OF_FIRE,str,0,0.0,10
IGNITION_POWER,str,0,0.0,3
SOURCE_OF_IGNITION,str,0,0.0,82
FIRE_START_LOCATION,str,0,0.0,17
FIRE_SIZE_ON_ARRIVAL,str,0,0.0,7
OTHER_PROPERTY_AFFECTED_ON_ARRIVAL,str,0,0.0,2
ITEM_IGNITED,str,0,0.0,10
ITEM_CAUSING_SPREAD,str,0,0.0,10
RAPID_FIRE_GROWTH,str,226470,0.9235870101587638,1
VEHICLES,str,0,0.0,8
VEHICLES_CODE,str,0,0.0,8
PERSONNEL,str,0,0.0,12
PERSONNEL_CODE,str,0,0.0,12
RESPONSE_TIME,str,0,0.0,13
RESPONSE_TIME_CODE,str,0,0.0,13
TIME_AT_SCENE,str,0,0.0,10
TIME_AT_SCENE_CODE,str,0,0.0,10
FATALITY_CASUALTY,str,233882,0.95381453221156,1
RESCUES,str,0,0.0,22
FIRE_DAMAGE_EXTENT,str,0,0.0,10
FIRE_DAMAGE_EXTENT_CODE,str,0,0.0,10
TOTAL_DAMAGE_EXTENT,str,0,0.0,10
TOTAL_DAMAGE_EXTENT_CODE,str,0,0.0,10
SPREAD_OF_FIRE,str,0,0.0,7
OTHER_PROPERTY_AFFECTED_CLOSE,str,0,0.0,2
