raw_field,official_meaning,data_type,information_timing,block_a,block_b,block_c,excluded,leakage_risk,reason
FRS_TERRITORY,The FRS territory in which the other-building fire took place,str,incident context,False,False,False,True,geographic shortcut,Excluded from main models; retained for quality/subgroup diagnostics.
E_CODE_TERRITORY,The National Statistics E code of the FRS territory,str,incident context,False,False,False,True,geographic shortcut,Excluded from main models; retained for quality/subgroup diagnostics.
FINANCIAL_YEAR,The financial year in which the other-building fire took place,str,call time (derived),False,False,False,True,temporal shortcut,Excluded from predictors; retained only for temporal splitting.
DAY_OF_WEEK,Day of week on which the fire took place,str,call time (derived),True,True,True,False,low/moderate,Included in the specified information block; timing limitations apply.
DAY_NIGHT,Time-of-day band in which the fire took place,str,call time (derived),True,True,True,False,low/moderate,Included in the specified information block; timing limitations apply.
BUILDING_TYPE,Type of building in which the fire occurred,str,incident context; retrospectively recorded,True,True,True,False,low/moderate,Included in the specified information block; timing limitations apply.
FSO_APPLY,Whether the Regulatory Reform (Fire Safety) Order 2005 applies,str,incident context; retrospectively recorded,True,True,True,False,low/moderate,Included in the specified information block; timing limitations apply.
OCCUPIED_NORMAL,Whether the building was normally occupied,str,incident context; retrospectively recorded,True,True,True,False,low/moderate,Included in the specified information block; timing limitations apply.
OCCUPIED_TIME,Whether the building was occupied at the time of the fire,str,incident circumstances; retrospectively recorded,False,True,True,False,low/moderate,Included in the specified information block; timing limitations apply.
ALARM_SYSTEM,Whether a smoke alarm was present and whether it operated/raised the alarm,str,incident circumstances; retrospectively recorded,False,True,True,False,low/moderate,Included in the specified information block; timing limitations apply.
SAFETY_SYSTEM,Whether a safety system was present and whether it operated,str,incident circumstances; retrospectively recorded,False,True,True,False,low/moderate,Included in the specified information block; timing limitations apply.
IGNITION_TO_DISCOVERY,Approximate time from ignition to discovery,str,estimated incident history,False,True,True,False,low/moderate,Included in the specified information block; timing limitations apply.
DISCOVERY_TO_CALL,Approximate time from discovery to the emergency-services call,str,estimated incident history,False,True,True,False,low/moderate,Included in the specified information block; timing limitations apply.
LATE_CALL,Whether the fire was known to be extinguished when the call was made,str,known at call/recorded incident status,False,False,False,True,cohort definition,Used only to define the main cohort.
ACCIDENTAL_OR_DELIBERATE,Whether the incident was recorded as accidental or deliberate,str,investigative/retrospective,False,True,True,False,low/moderate,Included in the specified information block; timing limitations apply.
CAUSE_OF_FIRE,Main recorded cause of the fire,str,investigative/retrospective; may be revised,False,True,True,False,low/moderate,Included in the specified information block; timing limitations apply.
IGNITION_POWER,What powered the ignition,str,investigative/retrospective; may be revised,False,True,True,False,low/moderate,Included in the specified information block; timing limitations apply.
SOURCE_OF_IGNITION,Source of ignition,str,investigative/retrospective; may be revised,False,True,True,False,low/moderate,Included in the specified information block; timing limitations apply.
FIRE_START_LOCATION,Room or compartment in which the fire started,str,investigative/retrospective,False,True,True,False,low/moderate,Included in the specified information block; timing limitations apply.
FIRE_SIZE_ON_ARRIVAL,Extent of fire when the first FRS crew arrived,str,first FRS arrival,False,False,True,False,proximal prognostic,Included only in the separately interpreted first-arrival model.
OTHER_PROPERTY_AFFECTED_ON_ARRIVAL,Whether an adjacent property was affected on first arrival,str,first FRS arrival,False,False,True,False,proximal prognostic,Included only in the separately interpreted first-arrival model.
ITEM_IGNITED,Item or material ignited first,str,investigative/retrospective,False,True,True,False,low/moderate,Included in the specified information block; timing limitations apply.
ITEM_CAUSING_SPREAD,Item or material mainly responsible for fire spread,str,post-spread/retrospective,False,False,False,True,high,"Excluded: outcome, post-spread, post-closure, or resource-escalation information."
RAPID_FIRE_GROWTH,Whether rapid fire growth was recorded,str,fire development/retrospective,False,False,False,True,high,"Excluded: outcome, post-spread, post-closure, or resource-escalation information."
VEHICLES,Banded number of FRS vehicles attending,str,late incident/outcome or not modelled,False,False,False,True,high,"Excluded: outcome, post-spread, post-closure, or resource-escalation information."
VEHICLES_CODE,Analysis code for VEHICLES,str,late incident/outcome or not modelled,False,False,False,True,high,"Excluded: outcome, post-spread, post-closure, or resource-escalation information."
PERSONNEL,Banded number of FRS personnel attending,str,late incident/outcome or not modelled,False,False,False,True,high,"Excluded: outcome, post-spread, post-closure, or resource-escalation information."
PERSONNEL_CODE,Analysis code for PERSONNEL,str,late incident/outcome or not modelled,False,False,False,True,high,"Excluded: outcome, post-spread, post-closure, or resource-escalation information."
RESPONSE_TIME,Banded time from call to first FRS vehicle arrival,str,first FRS arrival,False,False,True,False,proximal prognostic,Included only in the separately interpreted first-arrival model.
RESPONSE_TIME_CODE,Analysis code for RESPONSE_TIME,str,first FRS arrival,False,False,False,True,not assessed for modelling,Outside the prespecified predictor blocks.
TIME_AT_SCENE,Time from first vehicle arrival until incident closure,str,incident closure,False,False,False,True,high,"Excluded: outcome, post-spread, post-closure, or resource-escalation information."
TIME_AT_SCENE_CODE,Analysis code for TIME_AT_SCENE,str,incident closure,False,False,False,True,high,"Excluded: outcome, post-spread, post-closure, or resource-escalation information."
FATALITY_CASUALTY,Whether the incident involved a fatality or casualty,str,late incident/outcome or not modelled,False,False,False,True,high,"Excluded: outcome, post-spread, post-closure, or resource-escalation information."
RESCUES,Number of people rescued from the building,str,late incident/outcome or not modelled,False,False,False,True,high,"Excluded: outcome, post-spread, post-closure, or resource-escalation information."
FIRE_DAMAGE_EXTENT,Horizontal area damaged by flame and heat at fire stop,str,late incident/outcome or not modelled,False,False,False,True,high,"Excluded: outcome, post-spread, post-closure, or resource-escalation information."
FIRE_DAMAGE_EXTENT_CODE,Analysis code for FIRE_DAMAGE_EXTENT,str,late incident/outcome or not modelled,False,False,False,True,high,"Excluded: outcome, post-spread, post-closure, or resource-escalation information."
TOTAL_DAMAGE_EXTENT,"Horizontal area damaged by flame, heat, smoke and water",str,late incident/outcome or not modelled,False,False,False,True,high,"Excluded: outcome, post-spread, post-closure, or resource-escalation information."
TOTAL_DAMAGE_EXTENT_CODE,Analysis code for TOTAL_DAMAGE_EXTENT,str,late incident/outcome or not modelled,False,False,False,True,high,"Excluded: outcome, post-spread, post-closure, or resource-escalation information."
SPREAD_OF_FIRE,Extent of fire when the incident was closed,str,incident closure/outcome,False,False,False,True,high,"Excluded: outcome, post-spread, post-closure, or resource-escalation information."
OTHER_PROPERTY_AFFECTED_CLOSE,Whether an adjacent property was affected by incident closure,str,incident closure/outcome,False,False,False,True,high,"Excluded: outcome, post-spread, post-closure, or resource-escalation information."
