feature,baseline_pr_auc,mean_permuted_pr_auc,mean_pr_auc_decrease,std_pr_auc_decrease,permutation_repeats,permutation_seed,design,block,model,evaluation_set
BUILDING_TYPE,0.640199883921481,0.52784604913006,0.11235383479142105,0.002870055435765618,30,20260821,temporal,B,validation-selected xgboost,2022/23-2023/24 temporal test set
ITEM_IGNITED,0.640199883921481,0.606856233073343,0.033343650848138076,0.003276665527073312,30,20260821,temporal,B,validation-selected xgboost,2022/23-2023/24 temporal test set
ALARM_SYSTEM,0.640199883921481,0.6095165039667297,0.030683379954751327,0.003032133503669019,30,20260821,temporal,B,validation-selected xgboost,2022/23-2023/24 temporal test set
FIRE_START_LOCATION,0.640199883921481,0.6132065604685786,0.026993323452902375,0.0019052161042392407,30,20260821,temporal,B,validation-selected xgboost,2022/23-2023/24 temporal test set
IGNITION_TO_DISCOVERY,0.640199883921481,0.6193173305505214,0.02088255337095957,0.0018886854503207167,30,20260821,temporal,B,validation-selected xgboost,2022/23-2023/24 temporal test set
SOURCE_OF_IGNITION,0.640199883921481,0.6201481805189062,0.020051703402574894,0.001843363851413123,30,20260821,temporal,B,validation-selected xgboost,2022/23-2023/24 temporal test set
OCCUPIED_TIME,0.640199883921481,0.6241689962603469,0.016030887661133975,0.0015537112321108919,30,20260821,temporal,B,validation-selected xgboost,2022/23-2023/24 temporal test set
DAY_NIGHT,0.640199883921481,0.6302719208294524,0.009927963092028735,0.0011429485190585975,30,20260821,temporal,B,validation-selected xgboost,2022/23-2023/24 temporal test set
FSO_APPLY,0.640199883921481,0.6359122338663015,0.0042876500551795186,0.0009623201555172086,30,20260821,temporal,B,validation-selected xgboost,2022/23-2023/24 temporal test set
IGNITION_POWER,0.640199883921481,0.6369688326639619,0.003231051257519039,0.001059196732367436,30,20260821,temporal,B,validation-selected xgboost,2022/23-2023/24 temporal test set
CAUSE_OF_FIRE,0.640199883921481,0.6373549580675861,0.0028449258538947456,0.0006080912232652222,30,20260821,temporal,B,validation-selected xgboost,2022/23-2023/24 temporal test set
OCCUPIED_NORMAL,0.640199883921481,0.638002586663222,0.0021972972582590565,0.00048209531006627115,30,20260821,temporal,B,validation-selected xgboost,2022/23-2023/24 temporal test set
DISCOVERY_TO_CALL,0.640199883921481,0.6382626460261487,0.0019372378953322852,0.0004734892059100917,30,20260821,temporal,B,validation-selected xgboost,2022/23-2023/24 temporal test set
ACCIDENTAL_OR_DELIBERATE,0.640199883921481,0.6386346348814339,0.0015652490400471675,0.00039551121852013794,30,20260821,temporal,B,validation-selected xgboost,2022/23-2023/24 temporal test set
SAFETY_SYSTEM,0.640199883921481,0.6393983302872008,0.0008015536342803276,0.0005995741532079167,30,20260821,temporal,B,validation-selected xgboost,2022/23-2023/24 temporal test set
DAY_OF_WEEK,0.640199883921481,0.6399130968833712,0.00028678703810969264,0.00031378028463618744,30,20260821,temporal,B,validation-selected xgboost,2022/23-2023/24 temporal test set
