financial_year,column,n_records,n_missing,missing_rate
2010/11,FRS_TERRITORY,20756,0,0.0
2010/11,E_CODE_TERRITORY,20756,0,0.0
2010/11,FINANCIAL_YEAR,20756,0,0.0
2010/11,DAY_OF_WEEK,20756,0,0.0
2010/11,DAY_NIGHT,20756,0,0.0
2010/11,BUILDING_TYPE,20756,0,0.0
2010/11,FSO_APPLY,20756,0,0.0
2010/11,OCCUPIED_NORMAL,20756,0,0.0
2010/11,OCCUPIED_TIME,20756,0,0.0
2010/11,ALARM_SYSTEM,20756,0,0.0
2010/11,SAFETY_SYSTEM,20756,0,0.0
2010/11,IGNITION_TO_DISCOVERY,20756,0,0.0
2010/11,DISCOVERY_TO_CALL,20756,0,0.0
2010/11,LATE_CALL,20756,0,0.0
2010/11,ACCIDENTAL_OR_DELIBERATE,20756,0,0.0
2010/11,CAUSE_OF_FIRE,20756,0,0.0
2010/11,IGNITION_POWER,20756,0,0.0
2010/11,SOURCE_OF_IGNITION,20756,0,0.0
2010/11,FIRE_START_LOCATION,20756,0,0.0
2010/11,FIRE_SIZE_ON_ARRIVAL,20756,0,0.0
2010/11,OTHER_PROPERTY_AFFECTED_ON_ARRIVAL,20756,0,0.0
2010/11,ITEM_IGNITED,20756,0,0.0
2010/11,ITEM_CAUSING_SPREAD,20756,0,0.0
2010/11,RAPID_FIRE_GROWTH,20756,19267,0.9282617074580845
2010/11,VEHICLES,20756,0,0.0
2010/11,VEHICLES_CODE,20756,0,0.0
2010/11,PERSONNEL,20756,0,0.0
2010/11,PERSONNEL_CODE,20756,0,0.0
2010/11,RESPONSE_TIME,20756,0,0.0
2010/11,RESPONSE_TIME_CODE,20756,0,0.0
2010/11,TIME_AT_SCENE,20756,0,0.0
2010/11,TIME_AT_SCENE_CODE,20756,0,0.0
2010/11,FATALITY_CASUALTY,20756,19947,0.9610233185584891
2010/11,RESCUES,20756,0,0.0
2010/11,FIRE_DAMAGE_EXTENT,20756,0,0.0
2010/11,FIRE_DAMAGE_EXTENT_CODE,20756,0,0.0
2010/11,TOTAL_DAMAGE_EXTENT,20756,0,0.0
2010/11,TOTAL_DAMAGE_EXTENT_CODE,20756,0,0.0
2010/11,SPREAD_OF_FIRE,20756,0,0.0
2010/11,OTHER_PROPERTY_AFFECTED_CLOSE,20756,0,0.0
2011/12,FRS_TERRITORY,20323,0,0.0
2011/12,E_CODE_TERRITORY,20323,0,0.0
2011/12,FINANCIAL_YEAR,20323,0,0.0
2011/12,DAY_OF_WEEK,20323,0,0.0
2011/12,DAY_NIGHT,20323,0,0.0
2011/12,BUILDING_TYPE,20323,0,0.0
2011/12,FSO_APPLY,20323,0,0.0
2011/12,OCCUPIED_NORMAL,20323,0,0.0
2011/12,OCCUPIED_TIME,20323,0,0.0
2011/12,ALARM_SYSTEM,20323,0,0.0
2011/12,SAFETY_SYSTEM,20323,0,0.0
2011/12,IGNITION_TO_DISCOVERY,20323,0,0.0
2011/12,DISCOVERY_TO_CALL,20323,0,0.0
2011/12,LATE_CALL,20323,0,0.0
2011/12,ACCIDENTAL_OR_DELIBERATE,20323,0,0.0
2011/12,CAUSE_OF_FIRE,20323,0,0.0
2011/12,IGNITION_POWER,20323,0,0.0
2011/12,SOURCE_OF_IGNITION,20323,0,0.0
2011/12,FIRE_START_LOCATION,20323,0,0.0
2011/12,FIRE_SIZE_ON_ARRIVAL,20323,0,0.0
2011/12,OTHER_PROPERTY_AFFECTED_ON_ARRIVAL,20323,0,0.0
2011/12,ITEM_IGNITED,20323,0,0.0
2011/12,ITEM_CAUSING_SPREAD,20323,0,0.0
2011/12,RAPID_FIRE_GROWTH,20323,18732,0.9217143138316194
2011/12,VEHICLES,20323,0,0.0
2011/12,VEHICLES_CODE,20323,0,0.0
2011/12,PERSONNEL,20323,0,0.0
2011/12,PERSONNEL_CODE,20323,0,0.0
2011/12,RESPONSE_TIME,20323,0,0.0
2011/12,RESPONSE_TIME_CODE,20323,0,0.0
2011/12,TIME_AT_SCENE,20323,0,0.0
