block,model,pr_auc_random,roc_auc_random,recall_random,precision_random,f1_random,balanced_accuracy_random,brier_score_random,pr_auc_temporal,roc_auc_temporal,recall_temporal,precision_temporal,f1_temporal,balanced_accuracy_temporal,brier_score_temporal,pr_auc_random_minus_temporal,roc_auc_random_minus_temporal,recall_random_minus_temporal,precision_random_minus_temporal,f1_random_minus_temporal,balanced_accuracy_random_minus_temporal,brier_score_random_minus_temporal
A,dummy,0.257224761757186,0.5,1.0,0.257224761757186,0.4091945522893942,0.5,0.19106018369717717,0.2653598822344464,0.5,1.0,0.2653598822344464,0.4194219936321332,0.5,0.19518269308389755,-0.008135120477260394,0.0,0.0,-0.008135120477260394,-0.010227441342739008,0.0,-0.004122509386720374
A,logistic_regression,0.5527595027733249,0.8055675489587432,0.7025602409638554,0.526880505985995,0.6021685813863431,0.7420436544341547,0.14669737092273913,0.5531676816184459,0.793829949793462,0.6570802919708029,0.5383971291866029,0.5918474687705457,0.7267947336251399,0.15316749574261918,-0.00040817884512101,0.011737599165281165,0.04547994899305252,-0.011516623200607867,0.010321112615797379,0.015248920809014743,-0.0064701248198800465
A,random_forest,0.5614795566096489,0.8098842708373916,0.7185240963855422,0.5225057496440697,0.6050345570984719,0.7455664186944921,0.14469695111003508,0.5552110664380724,0.7962267846723027,0.7103649635036496,0.5122105263157894,0.5952293577981651,0.7330036165335164,0.15166932418482493,0.006268490171576491,0.013657486165088883,0.008159132881892517,0.010295223328280256,0.009805199300306766,0.012562802160975717,-0.006972373074789845
A,xgboost,0.5647905282499158,0.8131683561197959,0.7254518072289157,0.5254718010254172,0.609476814069716,0.7492910439086062,0.14385299730165071,0.5595187993381312,0.7998116869920264,0.6575182481751825,0.5470002428953121,0.5971890745160435,0.7304148929127336,0.15086485205646638,0.005271728911784623,0.01335666912776945,0.06793355905373322,-0.021528441869894888,0.012287739553672461,0.018876150995872587,-0.007011854754815666
A,catboost,0.5659482342854573,0.8126174367334783,0.7436746987951808,0.5135725429017161,0.6075669024915411,0.7498753174793678,0.14401634963298596,0.5614090228324691,0.7999168959395981,0.6620437956204379,0.5440259117082533,0.5972606347952061,0.730805698696108,0.15065700138946608,0.00453921145298819,0.012700540793880166,0.08163090317474286,-0.030453368806537262,0.010306267696335025,0.019069618783259745,-0.006640651756480126
B,dummy,0.257224761757186,0.5,1.0,0.257224761757186,0.4091945522893942,0.5,0.19106018369717717,0.2653598822344464,0.5,1.0,0.2653598822344464,0.4194219936321332,0.5,0.19518269308389755,-0.008135120477260394,0.0,0.0,-0.008135120477260394,-0.010227441342739008,0.0,-0.004122509386720374
B,logistic_regression,0.6392300145091733,0.8449048174548618,0.7487951807228915,0.5554066130473637,0.637762955361724,0.7706112129754021,0.1323039724525255,0.6282751979768539,0.8307631324507287,0.7414598540145986,0.5483696825739581,0.6304617676266137,0.7604420130650931,0.13968104275989418,0.010954816532319334,0.014141685004133042,0.007335326708292955,0.007036930473405589,0.007301187735110348,0.010169199910309068,-0.007377070307368672
B,random_forest,0.6514342558867698,0.852844044112195,0.7471385542168675,0.5704921803127875,0.6469744392279604,0.7761717596368576,0.12988169252887774,0.6337554005613166,0.8350138295071569,0.6893430656934306,0.5835392980721701,0.6320439030919556,0.7558189700962408,0.13807769088092944,0.017678855325453213,0.017830214605038197,0.057795488523436855,-0.01304711775938261,0.014930536136004813,0.02035278954061681,-0.008195998352051703
B,xgboost,0.6566246779018947,0.855089480169557,0.7286144578313253,0.5835243034615849,0.6480476860223696,0.7742634195905349,0.12856893550788442,0.640199883921481,0.8397503952937337,0.741021897810219,0.5605123674911661,0.6382497170878914,0.7655752813244303,0.13659843658941614,0.016424793980413743,0.01533908487582325,-0.012407439978893708,0.02301193597041884,0.009797968934478263,0.008688138266104595,-0.00802950108153172
B,catboost,0.658655936279512,0.8547834055529514,0.7697289156626506,0.563257659246198,0.6505027364133893,0.781521389092408,0.12823160299480876,0.6440936300121448,0.8388814265061577,0.7421897810218978,0.5642619311875694,0.641109709962169,0.7675829731939272,0.13609891159973395,0.014562306267367209,0.01590197904679369,0.02753913464075275,-0.0010042719413714263,0.00939302645122031,0.013938415898480772,-0.007867308604925183
C,dummy,0.257224761757186,0.5,1.0,0.257224761757186,0.4091945522893942,0.5,0.19106018369717717,0.2653598822344464,0.5,1.0,0.2653598822344464,0.4194219936321332,0.5,0.19518269308389755,-0.008135120477260394,0.0,0.0,-0.008135120477260394,-0.010227441342739008,0.0,-0.004122509386720374
C,logistic_regression,0.9743691068362076,0.986698443141503,0.9091867469879518,0.9859545974195656,0.9460158269999216,0.9523507532791016,0.02330182281915697,0.9816231904279253,0.9891893052837724,0.9213138686131387,0.9971559488070785,0.9577357917899689,0.9601823508853502,0.019460677884320342,-0.007254083591717753,-0.0024908621422693455,-0.01212712162518692,-0.011201351387512881,-0.011719964790047332,-0.00783159760624863,0.0038411449348366294
C,random_forest,0.9721893299167342,0.9851704696118364,0.9069277108433735,0.9889965511578256,0.9461858747741378,0.9517166978124243,0.026347036992989604,0.9795988489928448,0.9868970904533677,0.9223357664233577,0.9960586473277628,0.9577806412491473,0.9605087395710967,0.023631840767646864,-0.007409519076110538,-0.0017266208415313011,-0.015408055579984148,-0.007062096169937249,-0.011594766475009455,-0.008792041758672431,0.0027151962253427406
C,xgboost,0.9739248339740112,0.9871439824699865,0.9076807228915663,0.987708947885939,0.9460053366818396,0.9518845880025788,0.023200158732185273,0.9820794954052965,0.9894362657174485,0.9242335766423357,0.9906117978407135,0.9562721848802961,0.9605348435837706,0.019284856874156417,-0.008154661431285293,-0.0022922832474620014,-0.016552853750769425,-0.0029028499547745223,-0.010266848198456469,-0.008650255581191812,0.003915301858028856
C,catboost,0.9741382855233193,0.986773061003794,0.9088855421686747,0.9869174161896974,0.9462955703645629,0.9523566127449195,0.023286723549076672,0.9819211025300708,0.9891296609634543,0.9218978102189781,0.9968429360694554,0.9579067121729238,0.9604215901970233,0.019190187639419713,-0.007782817006751541,-0.0023565999596603104,-0.013012268050303422,-0.009925519879757982,-0.01161114180836087,-0.008064977452103883,0.004096535909656959
