design,partition,cohort_index,source_row_id,financial_year,larger_fire
temporal,train,0,0,2010/11,1
temporal,train,1,1,2010/11,1
temporal,train,2,2,2010/11,0
temporal,train,3,3,2010/11,0
temporal,train,4,4,2010/11,0
temporal,train,5,5,2010/11,0
temporal,train,6,6,2010/11,0
temporal,train,7,8,2010/11,1
temporal,train,8,9,2010/11,1
temporal,train,9,10,2010/11,0
temporal,train,10,11,2010/11,0
temporal,train,11,12,2010/11,0
temporal,train,12,13,2010/11,0
temporal,train,13,14,2010/11,0
temporal,train,14,15,2010/11,0
temporal,train,15,16,2010/11,0
temporal,train,16,17,2010/11,0
temporal,train,17,18,2010/11,0
temporal,train,18,19,2010/11,1
temporal,train,19,20,2010/11,1
temporal,train,20,21,2010/11,1
temporal,train,21,22,2010/11,1
temporal,train,22,23,2010/11,0
temporal,train,23,24,2010/11,0
temporal,train,24,25,2010/11,0
temporal,train,25,26,2010/11,0
temporal,train,26,27,2010/11,0
temporal,train,27,28,2010/11,0
temporal,train,28,29,2010/11,0
temporal,train,29,30,2010/11,0
temporal,train,30,31,2010/11,1
temporal,train,31,32,2010/11,0
temporal,train,32,33,2010/11,0
temporal,train,33,34,2010/11,0
temporal,train,34,35,2010/11,1
temporal,train,35,36,2010/11,1
temporal,train,36,37,2010/11,1
temporal,train,37,38,2010/11,1
temporal,train,38,39,2010/11,1
temporal,train,39,40,2010/11,0
temporal,train,40,41,2010/11,0
temporal,train,41,43,2010/11,0
temporal,train,42,44,2010/11,0
temporal,train,43,45,2010/11,0
temporal,train,44,46,2010/11,0
temporal,train,45,47,2010/11,0
temporal,train,46,48,2010/11,0
temporal,train,47,49,2010/11,0
temporal,train,48,50,2010/11,0
temporal,train,49,51,2010/11,0
temporal,train,50,52,2010/11,0
temporal,train,51,53,2010/11,1
temporal,train,52,54,2010/11,0
temporal,train,53,55,2010/11,1
temporal,train,54,56,2010/11,0
temporal,train,55,57,2010/11,0
temporal,train,56,58,2010/11,0
temporal,train,57,59,2010/11,0
temporal,train,58,60,2010/11,0
temporal,train,59,61,2010/11,0
temporal,train,60,62,2010/11,0
temporal,train,61,63,2010/11,0
temporal,train,62,64,2010/11,0
temporal,train,63,65,2010/11,1
temporal,train,64,66,2010/11,0
temporal,train,65,67,2010/11,0
temporal,train,66,68,2010/11,0
temporal,train,67,69,2010/11,0
temporal,train,68,70,2010/11,0
temporal,train,69,71,2010/11,0
temporal,train,70,72,2010/11,0
temporal,train,71,73,2010/11,0
temporal,train,72,74,2010/11,0
temporal,train,73,75,2010/11,0
temporal,train,74,76,2010/11,0
temporal,train,75,77,2010/11,0
temporal,train,76,78,2010/11,1
temporal,train,77,79,2010/11,1
temporal,train,78,80,2010/11,0
temporal,train,79,81,2010/11,0
temporal,train,80,82,2010/11,1
temporal,train,81,83,2010/11,0
temporal,train,82,84,2010/11,0
temporal,train,83,85,2010/11,0
temporal,train,84,86,2010/11,0
temporal,train,85,87,2010/11,0
temporal,train,86,88,2010/11,0
temporal,train,87,89,2010/11,0
temporal,train,88,90,2010/11,1
temporal,train,89,91,2010/11,0
temporal,train,90,92,2010/11,0
temporal,train,91,93,2010/11,0
temporal,train,92,95,2010/11,0
temporal,train,93,96,2010/11,0
temporal,train,94,97,2010/11,0
temporal,train,95,98,2010/11,0
temporal,train,96,99,2010/11,1
temporal,train,97,100,2010/11,1
