financial_year,records,mappable_records_main,larger_fires_main,larger_prevalence_main,roofs_roof_spaces,larger_prevalence_roofs_positive_all_records,late_calls
2010/11,20756,20199,4802,0.23773454131392643,557,0.2581904027751012,310
2011/12,20323,19781,5205,0.26313128759921134,542,0.28278305368301926,304
2012/13,16510,16106,3536,0.21954551098969327,404,0.23864324651726226,300
2013/14,16536,16017,3913,0.24430292813885246,519,0.2680212868892114,296
2014/15,15566,15138,3520,0.23252741445369268,428,0.2536297057689837,288
2015/16,16028,15602,3861,0.2474682732982951,426,0.2674694285001248,239
2016/17,15872,15470,3686,0.23826761473820296,402,0.25756048387096775,243
2017/18,15621,15197,3903,0.25682700532999936,424,0.2769989117214007,203
2018/19,15035,14567,4048,0.277888377840324,468,0.3003658131027602,170
2019/20,14332,13958,3605,0.25827482447342026,374,0.277630477253698,153
2020/21,11924,11544,3732,0.3232848232848233,380,0.34485072123448507,113
2021/22,12954,12541,3382,0.269675464476517,413,0.29295970356646595,148
2022/23,13578,13144,3734,0.28408399269628726,434,0.3069671527470909,146
2023/24,13300,12968,3142,0.24228871067242444,332,0.261203007518797,151
2024/25,13193,12831,3067,0.23903047307302627,362,0.2599105586295763,147
2025/26,13679,13220,3581,0.2708774583963691,459,0.29534322684406755,156
